player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Ishan Kishan †,batsman,105,99,,2644,1946,,,28.43,135.86
Rohit Sharma,batsman,257,252,,6628,5054,,,29.72,131.14
Suryakumar Yadav,batsman,150,135,,3594,2473,,,32.08,145.32
Tilak Varma,batsman,38,38,,1156,790,,,39.86,146.32
Hardik Pandya (c),batsman,137,128,,2525,1734,,,28.69,145.61
Nehal Wadhera,batsman,20,16,,350,250,,,23.33,140.00
Tim David,batsman,38,35,,659,387,,,28.65,170.28
Mohammad Nabi,batsman,24,19,,215,150,,,13.43,143.33
Gerald Coetzee,batsman,10,5,,14,22,,,3.50,63.63
"Piyush Chawla,",batsman,192,92,,624,563,,,11.14,110.83
Jasprit Bumrah,batsman,133,30,,68,78,,,9.71,87.17
