id,name,winner,date_location,url
3519,Indian Premier League,Rajasthan Royals,", Apr-Jun 2008 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/match-schedule-fixtures
4801,Indian Premier League,Deccan Chargers,", Apr-May 2009 (in South Africa)",https://www.espncricinfo.com/series/indian-premier-league-2009-374163/match-schedule-fixtures
5319,Indian Premier League,Chennai Super Kings,", Mar-Apr 2010 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/match-schedule-fixtures
5969,Indian Premier League,Chennai Super Kings,", Apr-May 2011 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/match-schedule-fixtures
6680,Indian Premier League,Kolkata Knight Riders,", Apr-May 2012 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/match-schedule-fixtures
7720,Indian Premier League,Mumbai Indians,", Apr-May 2013 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/match-schedule-fixtures
8827,Pepsi Indian Premier League,Kolkata Knight Riders,", Apr-Jun 2014 (in India/United Arab Emirates)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/match-schedule-fixtures
9657,Pepsi Indian Premier League,Mumbai Indians,", Apr-May 2015 (in India)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2015-791129/match-schedule-fixtures
11001,Indian Premier League,Sunrisers Hyderabad,", Apr-May 2016 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2016-968923/match-schedule-fixtures
11701,Indian Premier League,Mumbai Indians,", Apr-May 2017 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2017-1078425/match-schedule-fixtures
12210,Indian Premier League,Chennai Super Kings,", Apr-Jun 2018 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2018-1131611/match-schedule-fixtures
12741,Indian Premier League,Mumbai Indians,", Mar-May 2019 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2019-1165643/match-schedule-fixtures
13533,Indian Premier League,Mumbai Indians,", Sep-Nov 2020 (in United Arab Emirates)",https://www.espncricinfo.com/series/indian-premier-league-2020-21-1210595/match-schedule-fixtures
13840,Indian Premier League,Chennai Super Kings,", Apr-Oct 2021 (in India/United Arab Emirates)",https://www.espncricinfo.com/series/indian-premier-league-2021-1249214/match-schedule-fixtures
14452,Indian Premier League,Gujarat Titans,", Mar-May 2022 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/match-schedule-fixtures
15129,Indian Premier League,Chennai Super Kings,", Mar-May 2023 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2023-1345038/match-schedule-fixtures
15940,Indian Premier League,Kolkata Knight Riders,", Mar-May 2024 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/match-schedule-fixtures
16622,Indian Premier League,Forthcoming series,", Mar-May 2025 (in India)",https://www.espncricinfo.com/series/indian-premier-league-2025-1449924/match-schedule-fixtures
